polarizer_angle_deg,o_mode_relative_intensity,e_mode_relative_intensity
0.0,0.9889861791525527,0.04773471475227194
15.0,0.9633542294072757,0.06875483644601138
30.0,0.8171711196543358,0.2098277018354869
45.0,0.5670041647318184,0.44263626143290113
60.0,0.3323695671029917,0.6676975146850798
75.0,0.133295740718504,0.8532967725124362
90.0,0.03170247376458031,0.9277793315914747
105.0,0.0725729992861237,0.9465638382526984
120.0,0.21764835508644087,0.7762676278566991
135.0,0.4555690767228492,0.5472896391124679
150.0,0.7105501026735966,0.3181364732605036
165.0,0.8922287243336019,0.1292193993395394
180.0,0.9796403610197203,0.05358810390516965
